ID;SF;Kurztext;StatistikKrz;Langtext;Schule;Schueler;Beginn;Ende;Sort;geaendert
2;"G";"GANZTAG";null;"Ganztagsschule";1;1;1900-01-01T00:00;null;100;
2;"G";"OFFGANZ";null;"Offene Ganztagsschule";1;1;1900-01-01T00:00;null;200;
3;"BK";"JVA";null;"JVA-Schüler";1;1;1900-01-01T00:00;null;700;
4;"H";"BUS";null;"BUS-Projekt";1;1;1900-01-01T00:00;null;400;
20;"G";"SELBST";null;"Selbstständige Schule";1;0;1900-01-01T00:00;null;300;
21;"GY";"ArbSprE";null;"Arbeitssprache in der gym. Oberstufe -Englisch-";1;1;1900-01-01T00:00;null;1700;
22;"S";"BegSprF";"F";"Begegnung mit Sprachen -Französisch-";1;1;1900-01-01T00:00;null;1410;
23;"G";"BegSprF";"F";"Begegnung mit Sprachen -Französisch-";1;1;1900-01-01T00:00;null;1410;
24;"S";"BegSprSon";"X";"Begegnung mit Sprachen -Sonstige Fremdsprache-";1;1;1900-01-01T00:00;null;1450;
25;"G";"BegSprSon";"X";"Begegnung mit Sprachen -Sonstige Fremdsprache-";1;1;1900-01-01T00:00;null;1450;
26;"G";"RefPäd";null;"Reformpädagogik";1;0;1900-01-01T00:00;null;800;
27;"H";"GANZTAG";null;"Ganztagsschule";1;1;1900-01-01T00:00;null;100;
28;"V";"GANZTAG";null;"Ganztagsschule";1;1;1900-01-01T00:00;null;100;
29;"R";"GANZTAG";null;"Ganztagsschule";1;1;1900-01-01T00:00;null;100;
30;"GY";"GANZTAG";null;"Ganztagsschule";1;1;1900-01-01T00:00;null;100;
31;"GE";"GANZTAG";null;"Ganztagsschule";1;1;1900-01-01T00:00;null;100;
32;"S";"GANZTAG";null;"Ganztagsschule";1;1;1900-01-01T00:00;null;100;
33;"FW";"GANZTAG";null;"Ganztagsschule";1;1;1900-01-01T00:00;null;100;
34;"S";"OFFGANZ";null;"Offene Ganztagsschule";1;1;1900-01-01T00:00;null;200;
35;"FW";"OFFGANZ";null;"Offene Ganztagsschule";1;1;1900-01-01T00:00;null;200;
36;"H";"SELBST";null;"Selbstständige Schule";0;0;1900-01-01T00:00;null;300;
37;"S";"SELBST";null;"Selbstständige Schule";1;0;1900-01-01T00:00;null;300;
38;"R";"SELBST";null;"Selbstständige Schule";1;0;1900-01-01T00:00;null;300;
39;"GE";"SELBST";null;"Selbstständige Schule";1;0;1900-01-01T00:00;null;300;
40;"GY";"SELBST";null;"Selbstständige Schule";1;0;1900-01-01T00:00;null;300;
41;"WB";"SELBST";null;"Selbstständige Schule";1;0;1900-01-01T00:00;null;300;
42;"BK";"SELBST";null;"Selbstständige Schule";1;0;1900-01-01T00:00;null;300;
43;"SB";"SELBST";null;"Selbstständige Schule";1;0;1900-01-01T00:00;null;300;
44;"GE";"BUS";null;"BUS-Projekt";1;1;1900-01-01T00:00;null;400;
45;"S";"BUS";null;"BUS-Projekt";1;1;1900-01-01T00:00;null;400;
51;"H";"RefPäd";null;"Reformpädagogik";1;0;1900-01-01T00:00;null;800;
52;"S";"RefPäd";null;"Reformpädagogik";1;0;1900-01-01T00:00;null;800;
53;"R";"RefPäd";null;"Reformpädagogik";1;0;1900-01-01T00:00;null;800;
54;"GE";"RefPäd";null;"Reformpädagogik";1;0;1900-01-01T00:00;null;800;
55;"GY";"RefPäd";null;"Reformpädagogik";1;0;1900-01-01T00:00;null;800;
86;"GE";"ArbSprE";null;"Arbeitssprache in der gym. Oberstufe -Englisch-";1;1;1900-01-01T00:00;null;1700;
87;"GY";"ArbSprF";null;"Arbeitssprache in der gym. Oberstufe -Französisch-";1;1;1900-01-01T00:00;null;1710;
88;"GE";"ArbSprF";null;"Arbeitssprache in der gym. Oberstufe -Französisch-";1;1;1900-01-01T00:00;null;1710;
89;"GY";"ArbSprSon";null;"Arbeitssprache in der gym. Oberstufe -Sonstige Sprache-";1;1;1900-01-01T00:00;null;1720;
90;"GE";"ArbSprSon";null;"Arbeitssprache in der gym. Oberstufe -Sonstige Sprache-";1;1;1900-01-01T00:00;null;1720;
91;"GY";"VERBUND";null;"Verbundschule";1;0;1900-01-01T00:00;null;350;
92;"GE";"VERBUND";null;"Verbundschule";1;0;1900-01-01T00:00;null;350;
93;"R";"VERBUND";null;"Verbundschule";1;0;1900-01-01T00:00;null;350;
94;"H";"VERBUND";null;"Verbundschule";1;0;1900-01-01T00:00;null;350;
95;"H";"INTERNAT";null;"Internat";1;1;1990-01-01T00:00;null;2000;
96;"GY";"INTERNAT";null;"Internat";1;1;1900-01-01T00:00;null;2000;
97;"BK";"INTERNAT";null;"Internat";1;1;1900-01-01T00:00;null;2000;
98;"S";"INTERNAT";null;"Internat";1;1;1900-01-01T00:00;null;2000;
99;"GE";"INTERNAT";null;"Internat";1;1;1900-01-01T00:00;null;2000;
100;"FW";"INTERNAT";null;"Internat";1;1;1900-01-01T00:00;null;2000;
101;"R";"INTERNAT";null;"Internat";1;1;1900-01-01T00:00;null;2000;
102;"SB";"INTERNAT";null;"Internat";1;1;1900-01-01T00:00;null;2000;
103;"SR";"INTERNAT";null;"Internat";1;1;1900-01-01T00:00;null;2000;
104;"SG";"INTERNAT";null;"Internat";1;1;1900-01-01T00:00;null;2000;
112;"G";"BegSprI";"I";"Begegnung mit Sprachen -Italienisch-";1;1;1900-01-01T00:00;null;1420;
113;"G";"BegSprT";"T";"Begegnung mit Sprachen -Türkisch-";1;1;1900-01-01T00:00;null;1430;
114;"G";"BegSprN";"N";"Begegnung mit Sprachen -Niederländisch-";1;1;1900-01-01T00:00;null;1440;
115;"S";"BegSprI";"I";"Begegnung mit Sprachen -Italienisch-";1;1;1900-01-01T00:00;null;1420;
116;"S";"BegSprT";"T";"Begegnung mit Sprachen -Türkisch-";1;1;1900-01-01T00:00;null;1430;
117;"S";"BegSprN";"N";"Begegnung mit Sprachen -Niederländisch-";1;1;1900-01-01T00:00;null;1440;
120;"G";"VERBUND";null;"Verbundschule";1;0;1900-01-01T00:00;null;350;
121;"G";"INTERNAT";null;"Internat";1;1;1990-01-01T00:00;null;2000;
122;"PS";"GANZTAG";null;"Ganztagsschule";1;1;1900-01-01T00:00;null;100;
123;"PS";"OFFGANZ";null;"Offene Ganztagsschule";1;1;1900-01-01T00:00;null;200;
124;"PS";"INTERNAT";null;"Internat";1;1;1990-01-01T00:00;null;2000;
125;"PS";"BegSprI";"I";"Begegnung mit Sprachen -Italienisch-";1;1;1900-01-01T00:00;null;1420;
126;"PS";"BegSprT";"T";"Begegnung mit Sprachen -Türkisch-";1;1;1900-01-01T00:00;null;1430;
127;"PS";"BegSprN";"N";"Begegnung mit Sprachen -Niederländisch-";1;1;1900-01-01T00:00;null;1440;
130;"PS";"ArbSprSon";null;"Arbeitssprache in der gym. Oberstufe -Sonstige Sprache-";1;1;1900-01-01T00:00;null;1720;
131;"PS";"RefPäd";null;"Reformpädagogik";1;0;1900-01-01T00:00;null;800;
132;"PS";"SELBST";null;"Selbstständige Schule";1;0;1900-01-01T00:00;null;300;
133;"PS";"BUS";null;"BUS-Projekt";1;1;1900-01-01T00:00;null;400;
