SF;FSP;BG;Kursart;Kursart2;Bezeichnung;SGLBereich;Flag;geaendert
"BK";"**";"**";"01";"SWFB";"Stützunterricht Wahlbereich - fachbezogen";1;"1";
"BK";"**";"**";"02";"SWFW";"Stützunterricht Wahlbereich - fachübergreifend";0;"3";
"BK";"**";"**";"03";"FUAUS";"Stützunterricht Wahlbereich - Förderunterricht für ausländische u. ausgesiedelte Schüler";1;"1";
"BK";"**";"**";"10";"EWFA";"Erweiterungsunterricht Wahlbereich - fach- und abschlussbezogen";1;"1";
"BK";"**";"**";"11";"EWF";"Erweiterungsunterricht Wahlbereich - fach-, jedoch nicht abschlussbezogen";1;"1";
"BK";"**";"**";"12";"EWBF";"Erweiterungsunterricht Wahlbereich - berufsbezogen, fachübergreifend";0;"3";
"BK";"**";"**";"21";"VUW";"Vertiefungsunterricht Wahlbereich - berufsfeld- / berufsbezogener fachpraxisorientierter Kurs";0;"3";
"BK";"**";"**";"31";"NPG";"Neigungs- und Projektgruppe";1;"1";
"BK";"**";"**";"41";"EV";"Ergänzungs- oder Vertiefungskurs";2;"1";
"BK";"**";"**";"42";"SF";"Stütz- oder Förderkurs";2;"1";
"BK";"**";"**";"44";"SLP";"Selbstlernphase";2;"1";
"BK";"**";"**";"71";"AB3";"3. Abiturfach";3;"1";
"BK";"**";"**";"71";"AB4";"4. Abiturfach";3;"1";
"BK";"**";"**";"71";"EFSP";"Ersatzfach für Sport als 4. Abiturfach";3;"1";
"BK";"**";"**";"71";"GKM";"Grundkurs mündlich";3;"1";
"BK";"**";"**";"71";"GKS";"Grundkurs schriftlich";3;"1";
"BK";"**";"**";"72";"LK1";"Leistungskurs I";3;"1";
"BK";"**";"**";"72";"LK2";"Leistungskurs II";3;"1";
"BK";"**";"**";"73";"AGK";"Angleichungskurs";0;"3";
"BK";"**";"**";"76";"ZK";"Zusatzkurs";0;"3";
"BK";"**";"**";"77";"VTF";"Vertiefungskurs";0;"3";
"BK";"**";"**";"78";"PJK";"Projektkurs";0;"3";
"BK";"**";"**";"99";"PUK";"Unterricht im Klassenverband";1;"1";
"BK";"**";"**";"99";"PUK";"Unterricht im Klassenverband";2;"1";
"BK";"**";"**";"99";"PUK";"Unterricht im Klassenverband";3;"1";
"BK";"**";"**";"99";"*****";"Kein Eintrag - Standard für diese Schulform";4;"1";
"FW";"**";"**";"00";"PUT";"Pflichtunterricht sowie Unterricht im Wahlpflichtbereich";0;"1";
"FW";"**";"**";"59";"BSP";"Begegnung mit Sprachen in der Primarstufe";0;"1";
"G";"**";"**";"00";"FUT";"Förderunterricht für Teile von Klassen";0;"1";
"G";"**";"**";"00";"PUT";"Pflichtunterricht für Teile von Klassen";0;"1";
"G";"**";"**";"00";"PUT";"Pflichtunterricht für Teile von Klassen / Wahlpfl.-bereich: Unterricht in Fächern der Lernbereiche";0;"3";
"G";"**";"**";"33";"AST";"Arbeitsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"G";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"G";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"G";"**";"**";"81";"SPFU";"Sportförderunterricht";0;"1";
"G";"**";"**";"82";"LRS";"Schülerinnen und Schüler mit besonderen Schwierigkeiten im Erlernen des Lesens und Rechtschreibens (LRS)";0;"1";
"G";"**";"**";"84";"MEU";"Unterricht in der Herkunftssprache";0;"1";
"G";"**";"**";"85";"FDS";"Förderung in der deutschen Sprache außerhalb von Sprachfördermaßnahmen gemäß Erlass 13-63 Nr. 3";0;"1";
"G";"**";"**";"89";"DFG";"Förderung neu zugewanderter Schüler in Deutschfördergruppen (teilweise äußere und innere Differenzierung)";0;"1";
"G";"**";"**";"90";"DFK";"Förderung neu zugewanderter Schüler in Deutschförderklassen (vollständige äußere Differenzierung)";0;"1";
"G";"**";"**";"99";"FUK";"Förderunterricht im Klassenverband";0;"1";
"G";"**";"**";"99";"HU";"Hausunterricht";0;"1";
"G";"**";"**";"99";"PUK";"Unterricht im Klassenverband";0;"1";
"G";"**";"**";"99";"ZUV";"zusätzliche Unterrichtsveranstaltung (z.B. Schulchor)";0;"1";
"G";"**";"**";"99";"*****";"kein Eintrag zulässig";0;"2";
"GE";"**";"**";"00";"PUT";"Bildung kleiner Gruppen / sonstige Gruppierungen";0;"1";
"GE";"**";"**";"00";"PUT";"Bildung kleiner Gruppen / sonstige Gruppierungen";0;"2";
"GE";"**";"**";"00";"PUT";"Pflichtunterricht (Jahrgangsstufe 11)";0;"3";
"GE";"**";"**";"01";"G";"Fachleistungsebene: Grundebene/-kurs";0;"1";
"GE";"**";"**";"01";"G";"Fachleistungsebene: Grundebene/-kurs";0;"2";
"GE";"**";"**";"02";"E";"Fachleistungsebene: Erweiterungsebene/-kurs";0;"1";
"GE";"**";"**";"02";"E";"Fachleistungsebene: Erweiterungsebene/-kurs";0;"2";
"GE";"**";"**";"04";"FFU";"Fachbezogener Förderunterricht";0;"1";
"GE";"**";"**";"04";"FFU";"Fachbezogener Förderunterricht";0;"2";
"GE";"**";"**";"05";"FUF";"Fachunabhängiger Förderunterricht";0;"1";
"GE";"**";"**";"05";"FUF";"Fachunabhängiger Förderunterricht";0;"2";
"GE";"**";"**";"10";"WPI";"Wahlpflichtunterricht gem. § 19 Abs. 2 APO SI";0;"1";
"GE";"**";"**";"10";"WPI";"Wahlpflichtunterricht";0;"2";
"GE";"**";"**";"33";"AST";"Arbeitsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GE";"**";"**";"33";"AST";"Arbeitsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"GE";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GE";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"GE";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GE";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"GE";"**";"**";"55";"PROJ";"Profilklasse gem. § 21 Abs. 3 APO-SI";0;"1";
"GE";"**";"**";"55";"PROJ";"Profilklasse gem. § 21 Abs. 3 APO-SI";0;"2";
"GE";"**";"**";"61";"WPIG";"Wahlfplichtunterricht: 2. Fremdsprache (Bildungsgang Gymnasium)";0;"1";
"GE";"**";"**";"61";"WPIG";"Wahlfplichtunterricht: 2. Fremdsprache (Bildungsgang Gymnasium)";0;"2";
"GE";"**";"**";"62";"WP1SW";"Wahlpflichtunterricht GY: Fächerkombination aus dem Fächerspektrum der APO-SI oder gemäß § 7 Abs. 1 APO-GOSt";0;"1";
"GE";"**";"**";"62";"WP1SW";"Wahlpflichtunterricht GY: Fächerkombination aus dem Fächerspektrum der APO-SI oder gemäß § 7 Abs. 1 APO-GOSt";0;"2";
"GE";"**";"**";"64";"F3";"Wahlpflichtunterricht: Einzelfach aus Fächerspektrum APO-SI oder gemäß § 7 Abs. 1 APO-GOSt (inklusive 3. Fremdsprache)";0;"1";
"GE";"**";"**";"64";"F3";"Wahlpflichtunterricht: Einzelfach aus Fächerspektrum APO-SI oder gemäß § 7 Abs. 1 APO-GOSt (inklusive 3. Fremdsprache)";0;"2";
"GE";"**";"**";"67";"WPU";"Nur Bildungsgang Gymnasium: Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI";0;"1";
"GE";"**";"**";"67";"WPU";"Nur Bildungsgang Gymnasium: Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI";0;"2";
"GE";"**";"**";"71";"AB3";"3. Abiturfach";0;"1";
"GE";"**";"**";"71";"AB4";"4. Abiturfach";0;"1";
"GE";"**";"**";"71";"EFSP";"Ersatzfach für Sport als 4. Abiturfach";0;"1";
"GE";"**";"**";"71";"GKM";"Grundkurs mündlich";0;"1";
"GE";"**";"**";"71";"GKS";"Grundkurs schriftlich";0;"1";
"GE";"**";"**";"71";"AB3";"3. Abiturfach";0;"2";
"GE";"**";"**";"71";"AB4";"4. Abiturfach";0;"2";
"GE";"**";"**";"71";"EFSP";"Ersatzfach für Sport als 4. Abiturfach";0;"2";
"GE";"**";"**";"71";"GKM";"Grundkurs mündlich";0;"2";
"GE";"**";"**";"71";"GKS";"Grundkurs schriftlich";0;"2";
"GE";"**";"**";"72";"LK1";"Leistungskurs I";0;"1";
"GE";"**";"**";"72";"LK2";"Leistungskurs II";0;"1";
"GE";"**";"**";"72";"LK1";"Leistungskurs I";0;"2";
"GE";"**";"**";"72";"LK2";"Leistungskurs II";0;"2";
"GE";"**";"**";"76";"ZK";"Zusatzkurs gem. § 12 APO-GOSt";0;"1";
"GE";"**";"**";"76";"ZK";"Zusatzkurs gem. § 12 APO-GOSt";0;"2";
"GE";"**";"**";"77";"VTF";"Vertiefungsfach";0;"1";
"GE";"**";"**";"77";"VTF";"Vertiefungsfach";0;"2";
"GE";"**";"**";"78";"PJK";"Projektkurs";0;"1";
"GE";"**";"**";"78";"PJK";"Projektkurs";0;"2";
"GE";"**";"**";"81";"SPFU";"Sportförderunterricht";0;"1";
"GE";"**";"**";"81";"SPFU";"Sportförderunterricht";0;"2";
"GE";"**";"**";"82";"LRS";"Schülerinnen und Schüler mit besonderen Schwierigkeiten im Erlernen des Lesens und Rechtschreibens (LRS)";0;"1";
"GE";"**";"**";"82";"LRS";"Schülerinnen und Schüler mit besonderen Schwierigkeiten im Erlernen des Lesens und Rechtschreibens (LRS)";0;"2";
"GE";"**";"**";"84";"MEU";"Unterricht in der Herkunftssprache";0;"1";
"GE";"**";"**";"84";"MEU";"Unterricht in der Herkunftssprache";0;"2";
"GE";"**";"**";"85";"FDS";"Förderung in der deutschen Sprache außerhalb von Sprachfördermaßnahmen gemäß Erlass 13-63 Nr. 3";0;"1";
"GE";"**";"**";"85";"FDS";"Förderung in der deutschen Sprache außerhalb von Sprachfördermaßnahmen gemäß Erlass 13-63 Nr. 3";0;"2";
"GE";"**";"**";"89";"DFG";"Förderung neu zugewanderter Schüler in Deutschfördergruppen (teilweise äußere und innere Differenzierung)";0;"1";
"GE";"**";"**";"89";"DFG";"Förderung neu zugewanderter Schüler in Deutschfördergruppen (teilweise äußere und innere Differenzierung)";0;"2";
"GE";"**";"**";"90";"DFK";"Förderung neu zugewanderter Schüler in Deutschförderklassen (vollständige äußere Differenzierung)";0;"1";
"GE";"**";"**";"90";"DFK";"Förderung neu zugewanderter Schüler in Deutschförderklassen (vollständige äußere Differenzierung)";0;"2";
"GE";"**";"**";"91";"TAL";"Unterricht im Rahmen des Schulversuchs Talentschule";0;"1";
"GE";"**";"**";"91";"TAL";"Unterricht im Rahmen des Schulversuchs Talentschule";0;"2";
"GE";"**";"**";"94";"BUS";"Unterricht im Rahmen der Initiative 'Kein Abschluss ohne Anschluss' einschl. 'Schule trifft Arbeitswelt'";0;"1";
"GE";"**";"**";"94";"BUS";"Unterricht im Rahmen der Initiative 'Kein Abschluss ohne Anschluss' einschl. 'Schule trifft Arbeitswelt'";0;"2";
"GE";"**";"**";"96";"EGS1";"Ergänzungsstunden ohne Benotung 
(§ 3 Abs. 1, 3  und  § 19 Abs. 3  Nr.1 und 3  APO-SI)";0;"1";
"GE";"**";"**";"96";"EGS1";"Ergänzungsstunden ohne Benotung 
(§ 3 Abs. 1, 3  und  § 19 Abs. 3  Nr.1 und 3  APO-SI)";0;"2";
"GE";"**";"**";"97";"EGSN";"Ergänzungsstunden mit  Benotung 
(§ 3 Abs. 1, 3  und  § 19 Abs. 3  Nr.2 und 4  APO-SI)";0;"1";
"GE";"**";"**";"97";"EGSN";"Ergänzungsstunden mit  Benotung 
(§ 3 Abs. 1, 3  und  § 19 Abs. 3  Nr.2 und 4  APO-SI)";0;"2";
"GE";"**";"**";"99";"HU";"Hausunterricht";0;"1";
"GE";"**";"**";"99";"PUK";"Unterricht im Klassenverband";0;"1";
"GE";"**";"**";"99";"ZUV";"zusätzliche Unterrichtsveranstaltung (z.B. Schulchor)";0;"1";
"GE";"**";"**";"99";"*****";"keine Abweichung der Art der Gruppe zur Hauptzeile";0;"2";
"GE";"**";"**";"99";"ZUV";"zusätzliche Unterrichtsveranstaltung (z.B. Schulchor)";0;"2";
"GY";"**";"**";"00";"PUT";"Pflichtunterricht für Teile von Klassen";0;"1";
"GY";"**";"**";"33";"AST";"Arbeitsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GY";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GY";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GY";"**";"**";"55";"PROJ";"Profilklasse gem. § 21 Abs. 3 APO-SI";0;"1";
"GY";"**";"**";"61";"WPIGY";"Wahlpflichtunterricht: 2. Fremdsprache";0;"1";
"GY";"**";"**";"62";"WPII";"Wahlpflichtunterricht: Fächerkombination aus dem Fächerspektrum der APO-SI oder gemäß § 7 Abs. 1 APO-GOSt";0;"1";
"GY";"**";"**";"64";"F3";"Wahlpflichtunterricht: Einzelfach aus Fächerspektrum APO-SI oder gemäß § 7 Abs. 1 APO-GOSt (inklusive 3. Fremdsprache)";0;"1";
"GY";"**";"**";"67";"WPU";"Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI";0;"1";
"GY";"**";"**";"71";"AB3";"3. Abiturfach";0;"1";
"GY";"**";"**";"71";"AB4";"4. Abiturfach";0;"1";
"GY";"**";"**";"71";"EFSP";"Ersatzfach für Sport als 4. Abiturfach";0;"1";
"GY";"**";"**";"71";"GKM";"Grundkurs mündlich";0;"1";
"GY";"**";"**";"71";"GKS";"Grundkurs schriftlich";0;"1";
"GY";"**";"**";"72";"LK1";"Leistungskurs I";0;"1";
"GY";"**";"**";"72";"LK2";"Leistungskurs II";0;"1";
"GY";"**";"**";"76";"ZK";"Zusatzkurs gem. § 11 Abs. 3 APO-GOSt";0;"1";
"GY";"**";"**";"77";"VTF";"Vertiefungsfach  § 8, 11  APO - GOSt";0;"1";
"GY";"**";"**";"78";"PJK";"Projektkurs § 11 Abs. 8  APO - GOSt";0;"1";
"GY";"**";"**";"81";"SPFU";"Sportförderunterricht";0;"1";
"GY";"**";"**";"82";"LRS";"Schülerinnen und Schüler mit besonderen Schwierigkeiten im Erlernen des Lesens und Rechtschreibens (LRS)";0;"1";
"GY";"**";"**";"84";"MEU";"Unterricht in der Herkunftssprache";0;"1";
"GY";"**";"**";"85";"FDS";"Förderung in der deutschen Sprache außerhalb von Sprachfördermaßnahmen gemäß Erlass 13-63 Nr. 3";0;"1";
"GY";"**";"**";"89";"DFG";"Förderung neu zugewanderter Schüler in Deutschfördergruppen (teilweise äußere und innere Differenzierung)";0;"1";
"GY";"**";"**";"90";"DFK";"Förderung neu zugewanderter Schüler in Deutschförderklassen (vollständige äußere Differenzierung)";0;"1";
"GY";"**";"**";"91";"TAL";"Unterricht im Rahmen des Schulversuchs Talentschule";0;"1";
"GY";"**";"**";"94";"BUS";"Unterricht im Rahmen der Initiative 'Kein Abschluss ohne Anschluss' einschl. 'Schule trifft Arbeitswelt'";0;"1";
"GY";"**";"**";"96";"EGS1";"Sonstige Ergänzungsstunden gem. § 3 Abs. 1, 3 und § 19 Abs. 3 APO-SI";0;"1";
"GY";"**";"**";"99";"HU";"Hausunterricht";0;"1";
"GY";"**";"**";"99";"PUK";"Unterricht im Klassenverband";0;"1";
"GY";"**";"**";"99";"ZUV";"zusätzliche Unterrichtsveranstaltung (z.B. Schulchor)";0;"1";
"GY";"**";"**";"99";"*****";"kein Eintrag zulässig";0;"2";
"H";"**";"**";"00";"PUT";"Pflichtunterricht für Teile von Klassen";0;"1";
"H";"**";"**";"00";"PUT";"Pflichtunterricht für Teile von Klassen";0;"2";
"H";"**";"**";"13";"G_H";"Grundkurs";0;"1";
"H";"**";"**";"13";"G_H";"Grundkurs";0;"2";
"H";"**";"**";"16";"E_H";"Erweiterungskurs";0;"1";
"H";"**";"**";"16";"E_H";"Erweiterungskurs";0;"2";
"H";"**";"**";"17";"VSU";"Förderunterricht";0;"1";
"H";"**";"**";"17";"VSU";"Förderunterricht";0;"2";
"H";"**";"**";"26";"WPU";"Wahlpflichtunterricht";0;"1";
"H";"**";"**";"26";"WPU";"Wahlpflichtunterricht";0;"2";
"H";"**";"**";"29";"WPF";"Wahlpflichtfach";0;"1";
"H";"**";"**";"29";"WPF";"Wahlpflichtfach";0;"2";
"H";"**";"**";"33";"AST";"Arbeits- bzw. Übungsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"H";"**";"**";"33";"AST";"Arbeits- bzw. Übungsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"H";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"H";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"H";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"H";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"H";"**";"**";"61";"WP1FS";"Wahlpflichtbereich, Fremdsprachlich  (Nur Bildungsgang Realschule)";0;"1";
"H";"**";"**";"61";"WP1FS";"Wahlpflichtbereich, Fremdsprachlich  (Nur Bildungsgang Realschule)";0;"2";
"H";"**";"**";"62";"WP1SW";"Wahlpflichtbereich: Sozialwissenschaftlich (Nur Bildungsgang Realschule)";0;"1";
"H";"**";"**";"62";"WP1SW";"Wahlpflichtbereich: Sozialwissenschaftlich (Nur Bildungsgang Realschule)";0;"2";
"H";"**";"**";"63";"WP1NT";"Wahlpflichtbereich: Naturwissenschaftlich - technisch (Nur Bildungsgang Realschule)";0;"1";
"H";"**";"**";"63";"WP1NT";"Wahlpflichtbereich: Naturwissenschaftlich - technisch  (Nur Bildungsgang Realschule)";0;"2";
"H";"**";"**";"64";"WP1MU";"Wahlpflichtbereich: Musisch-künstlerisch (Nur Bildungsgang Realschule)";0;"1";
"H";"**";"**";"64";"WP1MU";"Wahlpflichtbereich: Musisch-künstlerisch (Nur Bildungsgang Realschule)";0;"2";
"H";"**";"**";"67";"WPII";"Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI";0;"1";
"H";"**";"**";"67";"WPII";"Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI";0;"2";
"H";"**";"**";"68";"WP1WW";"Wahlpflichtbereich: Wirtschaftlich (Nur Bildungsgang Realschule)";0;"1";
