ID;PLZ;RegSchl;Ort;Stand;Sortierung;Art
123343;"32049";"05758012";"Herford";"09.04.2020";null;6
123344;"32051";"05758012";"Herford";"09.04.2020";null;6
123345;"32052";"05758012";"Herford";"09.04.2020";null;6
123379;"32105";"05766008";"Bad Salzuflen";"09.04.2020";null;6
123380;"32107";"05766008";"Bad Salzuflen";"09.04.2020";null;6
123381;"32108";"05766008";"Bad Salzuflen";"09.04.2020";null;6
123387;"32120";"05758016";"Hiddenhausen";"09.04.2020";null;6
123392;"32130";"05758008";"Enger";"09.04.2020";null;6
123397;"32139";"05758032";"Spenge";"09.04.2020";null;6
123421;"32257";"05758004";"Bünde";"09.04.2020";null;6
123427;"32278";"05758020";"Kirchlengern";"09.04.2020";null;6
123433;"32289";"05758028";"Rödinghausen";"09.04.2020";null;6
123442;"32312";"05770020";"Lübbecke";"09.04.2020";null;6
123450;"32339";"05770008";"Espelkamp";"09.04.2020";null;6
123454;"32351";"05770044";"Stemwede";"09.04.2020";null;6
123457;"32361";"05770036";"Preußisch Oldendorf";"09.04.2020";null;6
123461;"32369";"05770040";"Rahden";"09.04.2020";null;6
123495;"32423";"05770024";"Minden";"09.04.2020";null;6
123496;"32425";"05770024";"Minden";"09.04.2020";null;6
123497;"32427";"05770024";"Minden";"09.04.2020";null;6
123498;"32429";"05770024";"Minden";"09.04.2020";null;6
123508;"32457";"05770032";"Porta Westfalica";"09.04.2020";null;6
123513;"32469";"05770028";"Petershagen";"09.04.2020";null;6
123517;"32479";"05770012";"Hille";"09.04.2020";null;6
123540;"32545";"05770004";"Bad Oeynhausen";"09.04.2020";null;6
123541;"32547";"05770004";"Bad Oeynhausen";"09.04.2020";null;6
123542;"32549";"05770004";"Bad Oeynhausen";"09.04.2020";null;6
123556;"32584";"05758024";"Löhne";"09.04.2020";null;6
123564;"32602";"05758036";"Vlotho";"09.04.2020";null;6
123568;"32609";"05770016";"Hüllhorst";"09.04.2020";null;6
123582;"32657";"05766044";"Lemgo";"09.04.2020";null;6
123583;"32676";"05766052";"Lügde";"09.04.2020";null;6
123587;"32683";"05766012";"Barntrup";"09.04.2020";null;6
123590;"32689";"05766036";"Kalletal";"09.04.2020";null;6
123593;"32694";"05766024";"Dörentrup";"09.04.2020";null;6
123596;"32699";"05766028";"Extertal";"09.04.2020";null;6
123633;"32756";"05766020";"Detmold";"09.04.2020";null;6
123634;"32758";"05766020";"Detmold";"09.04.2020";null;6
123635;"32760";"05766020";"Detmold";"09.04.2020";null;6
123636;"32791";"05766040";"Lage";"09.04.2020";null;6
123640;"32805";"05766032";"Horn-Bad Meinberg";"09.04.2020";null;6
123644;"32816";"05766060";"Schieder-Schwalenberg";"09.04.2020";null;6
123650;"32825";"05766016";"Blomberg";"09.04.2020";null;6
123654;"32832";"05766004";"Augustdorf";"09.04.2020";null;6
123658;"32839";"05762032";"Steinheim";"09.04.2020";null;6
123665;"33014";"05762004";"Bad Driburg";"09.04.2020";null;6
123671;"33034";"05762016";"Brakel";"09.04.2020";null;6
123674;"33039";"05762028";"Nieheim";"09.04.2020";null;6
123710;"33098";"05774032";"Paderborn";"09.04.2020";null;6
123711;"33100";"05774032";"Paderborn";"09.04.2020";null;6
123712;"33102";"05774032";"Paderborn";"09.04.2020";null;6
123713;"33104";"05774032";"Paderborn";"09.04.2020";null;6
123714;"33106";"05774032";"Paderborn";"09.04.2020";null;6
123720;"33129";"05774020";"Delbrück";"09.04.2020";null;6
123725;"33142";"05774016";"Büren";"09.04.2020";null;6
123730;"33154";"05774032";"Paderborn";"09.04.2020";null;6
123731;"33154";"05774036";"Salzkotten";"09.04.2020";null;6
123735;"33161";"05774024";"Hövelhof";"09.04.2020";null;6
123736;"33161";"05774032";"Paderborn";"09.04.2020";null;6
123738;"33165";"05774028";"Lichtenau";"09.04.2020";null;6
123744;"33175";"05774008";"Bad Lippspringe";"09.04.2020";null;6
123746;"33178";"05774012";"Borchen";"09.04.2020";null;6
123748;"33181";"05774040";"Bad Wünnenberg";"09.04.2020";null;6
123750;"33184";"05774004";"Altenbeken";"09.04.2020";null;6
123753;"33189";"05766064";"Schlangen";"09.04.2020";null;6
123813;"33330";"05754008";"Gütersloh";"09.04.2020";null;6
123814;"33332";"05754008";"Gütersloh";"09.04.2020";null;6
123815;"33333";"05754008";"Gütersloh";"09.04.2020";null;6
123816;"33334";"05754008";"Gütersloh";"09.04.2020";null;6
123817;"33335";"05754008";"Gütersloh";"09.04.2020";null;6
123849;"33378";"05754028";"Rheda-Wiedenbrück";"09.04.2020";null;6
123860;"33397";"05754032";"Rietberg";"09.04.2020";null;6
123878;"33415";"05754044";"Verl";"09.04.2020";null;6
123888;"33428";"05754016";"Harsewinkel";"09.04.2020";null;6
123889;"33428";"05754016";"Harsewinkel";"09.04.2020";null;6
123899;"33442";"05754020";"Herzebrock-Clarholz";"09.04.2020";null;6
123902;"33449";"05754024";"Langenberg";"09.04.2020";null;6
123970;"33602";"05711000";"Bielefeld";"09.04.2020";null;6
123971;"33604";"05711000";"Bielefeld";"09.04.2020";null;6
123972;"33605";"05711000";"Bielefeld";"09.04.2020";null;6
123973;"33607";"05711000";"Bielefeld";"09.04.2020";null;6
123974;"33609";"05711000";"Bielefeld";"09.04.2020";null;6
123975;"33611";"05711000";"Bielefeld";"09.04.2020";null;6
123976;"33613";"05711000";"Bielefeld";"09.04.2020";null;6
123977;"33615";"05711000";"Bielefeld";"09.04.2020";null;6
123978;"33617";"05711000";"Bielefeld";"09.04.2020";null;6
123979;"33619";"05711000";"Bielefeld";"09.04.2020";null;6
123994;"33647";"05711000";"Bielefeld";"09.04.2020";null;6
123995;"33649";"05711000";"Bielefeld";"09.04.2020";null;6
123999;"33659";"05711000";"Bielefeld";"09.04.2020";null;6
124011;"33689";"05711000";"Bielefeld";"09.04.2020";null;6
124019;"33699";"05711000";"Bielefeld";"09.04.2020";null;6
124024;"33719";"05711000";"Bielefeld";"09.04.2020";null;6
124028;"33729";"05711000";"Bielefeld";"09.04.2020";null;6
124032;"33739";"05711000";"Bielefeld";"09.04.2020";null;6
124038;"33758";"05754036";"Schloß Holte-Stukenbrock";"09.04.2020";null;6
124050;"33775";"05754048";"Versmold";"09.04.2020";null;6
124062;"33790";"05754012";"Halle (Westf.)";"09.04.2020";null;6
124069;"33803";"05754040";"Steinhagen";"09.04.2020";null;6
124074;"33813";"05766056";"Oerlinghausen";"09.04.2020";null;6
124078;"33818";"05766048";"Leopoldshöhe";"09.04.2020";null;6
124081;"33824";"05754052";"Werther (Westf.)";"09.04.2020";null;6
124084;"33829";"05754004";"Borgholzhausen";"09.04.2020";null;6
124091;"34414";"05762036";"Warburg";"09.04.2020";null;6
124098;"34431";"05958024";"Marsberg";"09.04.2020";null;6
124100;"34434";"05762012";"Borgentreich";"09.04.2020";null;6
124103;"34439";"05762040";"Willebadessen";"09.04.2020";null;6
124112;"37671";"05762020";"Höxter";"09.04.2020";null;6
124117;"37688";"05762008";"Beverungen";"09.04.2020";null;6
124119;"37696";"05762024";"Marienmünster";"09.04.2020";null;6
124257;"40210";"05111000";"Düsseldorf";"09.04.2020";null;6
124258;"40211";"05111000";"Düsseldorf";"09.04.2020";null;6
124259;"40212";"05111000";"Düsseldorf";"09.04.2020";null;6
124260;"40213";"05111000";"Düsseldorf";"09.04.2020";null;6
124261;"40215";"05111000";"Düsseldorf";"09.04.2020";null;6
124262;"40217";"05111000";"Düsseldorf";"09.04.2020";null;6
124263;"40219";"05111000";"Düsseldorf";"09.04.2020";null;6
124264;"40221";"05111000";"Düsseldorf";"09.04.2020";null;6
124265;"40223";"05111000";"Düsseldorf";"09.04.2020";null;6
124266;"40225";"05111000";"Düsseldorf";"09.04.2020";null;6
124267;"40227";"05111000";"Düsseldorf";"09.04.2020";null;6
124268;"40229";"05111000";"Düsseldorf";"09.04.2020";null;6
124269;"40231";"05111000";"Düsseldorf";"09.04.2020";null;6
124270;"40233";"05111000";"Düsseldorf";"09.04.2020";null;6
124271;"40235";"05111000";"Düsseldorf";"09.04.2020";null;6
124272;"40237";"05111000";"Düsseldorf";"09.04.2020";null;6
124273;"40239";"05111000";"Düsseldorf";"09.04.2020";null;6
124322;"40468";"05111000";"Düsseldorf";"09.04.2020";null;6
124323;"40470";"05111000";"Düsseldorf";"09.04.2020";null;6
124324;"40472";"05111000";"Düsseldorf";"09.04.2020";null;6
124325;"40472";"05158028";"Ratingen";"09.04.2020";null;6
124326;"40474";"05111000";"Düsseldorf";"09.04.2020";null;6
124327;"40476";"05111000";"Düsseldorf";"09.04.2020";null;6
124328;"40477";"05111000";"Düsseldorf";"09.04.2020";null;6
124329;"40479";"05111000";"Düsseldorf";"09.04.2020";null;6
124332;"40489";"05111000";"Düsseldorf";"09.04.2020";null;6
124358;"40545";"05111000";"Düsseldorf";"09.04.2020";null;6
124359;"40547";"05111000";"Düsseldorf";"09.04.2020";null;6
124360;"40549";"05111000";"Düsseldorf";"09.04.2020";null;6
124380;"40589";"05111000";"Düsseldorf";"09.04.2020";null;6
124381;"40591";"05111000";"Düsseldorf";"09.04.2020";null;6
124382;"40593";"05111000";"Düsseldorf";"09.04.2020";null;6
124383;"40595";"05111000";"Düsseldorf";"09.04.2020";null;6
124384;"40597";"05111000";"Düsseldorf";"09.04.2020";null;6
124385;"40599";"05111000";"Düsseldorf";"09.04.2020";null;6
124393;"40625";"05111000";"Düsseldorf";"09.04.2020";null;6
124394;"40627";"05111000";"Düsseldorf";"09.04.2020";null;6
124395;"40629";"05111000";"Düsseldorf";"09.04.2020";null;6
124412;"40667";"05162022";"Meerbusch";"09.04.2020";null;6
124413;"40668";"05162022";"Meerbusch";"09.04.2020";null;6
124414;"40670";"05162022";"Meerbusch";"09.04.2020";null;6
124428;"40699";"05158004";"Erkrath";"09.04.2020";null;6
124441;"40721";"05111000";"Düsseldorf";"09.04.2020";null;6
124442;"40721";"05158016";"Hilden";"09.04.2020";null;6
124443;"40723";"05158016";"Hilden";"09.04.2020";null;6
124444;"40724";"05158016";"Hilden";"09.04.2020";null;6
124456;"40764";"05158020";"Langenfeld (Rheinland)";"09.04.2020";null;6
124470;"40789";"05158026";"Monheim am Rhein";"09.04.2020";null;6
124483;"40822";"05158024";"Mettmann";"09.04.2020";null;6
124512;"40878";"05158028";"Ratingen";"09.04.2020";null;6
124513;"40880";"05158028";"Ratingen";"09.04.2020";null;6
124514;"40882";"05158028";"Ratingen";"09.04.2020";null;6
124515;"40883";"05158028";"Ratingen";"09.04.2020";null;6
124516;"40885";"05158028";"Ratingen";"09.04.2020";null;6
124544;"41061";"05116000";"Mönchengladbach";"09.04.2020";null;6
124545;"41063";"05116000";"Mönchengladbach";"09.04.2020";null;6
124546;"41065";"05116000";"Mönchengladbach";"09.04.2020";null;6
124547;"41066";"05116000";"Mönchengladbach";"09.04.2020";null;6
124548;"41068";"05116000";"Mönchengladbach";"09.04.2020";null;6
124549;"41069";"05116000";"Mönchengladbach";"09.04.2020";null;6
124553;"41169";"05116000";"Mönchengladbach";"09.04.2020";null;6
124556;"41179";"05116000";"Mönchengladbach";"09.04.2020";null;6
124560;"41189";"05116000";"Mönchengladbach";"09.04.2020";null;6
124565;"41199";"05116000";"Mönchengladbach";"09.04.2020";null;6
124584;"41236";"05116000";"Mönchengladbach";"09.04.2020";null;6
124585;"41238";"05116000";"Mönchengladbach";"09.04.2020";null;6
124586;"41239";"05116000";"Mönchengladbach";"09.04.2020";null;6
124605;"41334";"05166016";"Nettetal";"09.04.2020";null;6
124614;"41352";"05162020";"Korschenbroich";"09.04.2020";null;6
124620;"41363";"05162012";"Jüchen";"09.04.2020";null;6
124622;"41366";"05166024";"Schwalmtal";"09.04.2020";null;6
124626;"41372";"05166020";"Niederkrüchten";"09.04.2020";null;6
124630;"41379";"05166004";"Brüggen";"09.04.2020";null;6
124667;"41460";"05162024";"Neuss";"09.04.2020";null;6
124668;"41462";"05162024";"Neuss";"09.04.2020";null;6
124669;"41464";"05162024";"Neuss";"09.04.2020";null;6
124670;"41466";"05162024";"Neuss";"09.04.2020";null;6
124671;"41468";"05162024";"Neuss";"09.04.2020";null;6
124672;"41469";"05162024";"Neuss";"09.04.2020";null;6
124673;"41470";"05162024";"Neuss";"09.04.2020";null;6
124674;"41472";"05162024";"Neuss";"09.04.2020";null;6
124690;"41515";"05162008";"Grevenbroich";"09.04.2020";null;6
124691;"41516";"05162008";"Grevenbroich";"09.04.2020";null;6
124692;"41517";"05162008";"Grevenbroich";"09.04.2020";null;6
124707;"41539";"05162004";"Dormagen";"09.04.2020";null;6
124708;"41540";"05162004";"Dormagen";"09.04.2020";null;6
124709;"41541";"05162004";"Dormagen";"09.04.2020";null;6
124710;"41542";"05162004";"Dormagen";"09.04.2020";null;6
124721;"41564";"05162016";"Kaarst";"09.04.2020";null;6
124724;"41569";"05162028";"Rommerskirchen";"09.04.2020";null;6
124749;"41747";"05166032";"Viersen";"09.04.2020";null;6
124750;"41748";"05166032";"Viersen";"09.04.2020";null;6
124751;"41749";"05166032";"Viersen";"09.04.2020";null;6
124752;"41751";"05166032";"Viersen";"09.04.2020";null;6
124759;"41812";"05370004";"Erkelenz";"09.04.2020";null;6
124767;"41836";"05370020";"Hückelhoven";"09.04.2020";null;6
124772;"41844";"05370040";"Wegberg";"09.04.2020";null;6
124773;"41849";"05370036";"Wassenberg";"09.04.2020";null;6
124827;"42103";"05124000";"Wuppertal";"09.04.2020";null;6
124828;"42105";"05124000";"Wuppertal";"09.04.2020";null;6
124829;"42107";"05124000";"Wuppertal";"09.04.2020";null;6
124830;"42109";"05124000";"Wuppertal";"09.04.2020";null;6
124831;"42111";"05124000";"Wuppertal";"09.04.2020";null;6
124832;"42113";"05124000";"Wuppertal";"09.04.2020";null;6
124833;"42115";"05124000";"Wuppertal";"09.04.2020";null;6
124834;"42117";"05124000";"Wuppertal";"09.04.2020";null;6
124835;"42119";"05124000";"Wuppertal";"09.04.2020";null;6
124877;"42275";"05124000";"Wuppertal";"09.04.2020";null;6
124878;"42277";"05124000";"Wuppertal";"09.04.2020";null;6
124879;"42279";"05124000";"Wuppertal";"09.04.2020";null;6
124880;"42281";"05124000";"Wuppertal";"09.04.2020";null;6
124881;"42283";"05124000";"Wuppertal";"09.04.2020";null;6
124882;"42285";"05124000";"Wuppertal";"09.04.2020";null;6
124883;"42287";"05124000";"Wuppertal";"09.04.2020";null;6
124884;"42289";"05124000";"Wuppertal";"09.04.2020";null;6
124894;"42327";"05124000";"Wuppertal";"09.04.2020";null;6
124895;"42329";"05124000";"Wuppertal";"09.04.2020";null;6
124906;"42349";"05124000";"Wuppertal";"09.04.2020";null;6
124915;"42369";"05124000";"Wuppertal";"09.04.2020";null;6
124921;"42389";"05124000";"Wuppertal";"09.04.2020";null;6
124922;"42399";"05124000";"Wuppertal";"09.04.2020";null;6
124936;"42477";"05374036";"Radevormwald";"09.04.2020";null;6
124942;"42489";"05158036";"Wülfrath";"09.04.2020";null;6
124947;"42499";"05374016";"Hückeswagen";"09.04.2020";null;6
124974;"42549";"05158032";"Velbert";"09.04.2020";null;6
124975;"42551";"05158032";"Velbert";"09.04.2020";null;6
124976;"42553";"05158032";"Velbert";"09.04.2020";null;6
124977;"42555";"05158032";"Velbert";"09.04.2020";null;6
124988;"42579";"05158012";"Heiligenhaus";"09.04.2020";null;6
125016;"42651";"05122000";"Solingen";"09.04.2020";null;6
125017;"42653";"05122000";"Solingen";"09.04.2020";null;6
125018;"42655";"05122000";"Solingen";"09.04.2020";null;6
125019;"42657";"05122000";"Solingen";"09.04.2020";null;6
125020;"42659";"05122000";"Solingen";"09.04.2020";null;6
125033;"42697";"05122000";"Solingen";"09.04.2020";null;6
125034;"42699";"05122000";"Solingen";"09.04.2020";null;6
125043;"42719";"05122000";"Solingen";"09.04.2020";null;6
125056;"42781";"05158008";"Haan";"09.04.2020";null;6
125064;"42799";"05378016";"Leichlingen (Rheinland)";"09.04.2020";null;6
125091;"42853";"05120000";"Remscheid";"09.04.2020";null;6
125092;"42855";"05120000";"Remscheid";"09.04.2020";null;6
125093;"42857";"05120000";"Remscheid";"09.04.2020";null;6
125094;"42859";"05120000";"Remscheid";"09.04.2020";null;6
125109;"42897";"05120000";"Remscheid";"09.04.2020";null;6
125110;"42899";"05120000";"Remscheid";"09.04.2020";null;6
125121;"42929";"05378032";"Wermelskirchen";"09.04.2020";null;6
125211;"44135";"05913000";"Dortmund";"09.04.2020";null;6
125212;"44137";"05913000";"Dortmund";"09.04.2020";null;6
125213;"44139";"05913000";"Dortmund";"09.04.2020";null;6
125214;"44141";"05913000";"Dortmund";"09.04.2020";null;6
125215;"44143";"05913000";"Dortmund";"09.04.2020";null;6
125216;"44145";"05913000";"Dortmund";"09.04.2020";null;6
125217;"44147";"05913000";"Dortmund";"09.04.2020";null;6
125218;"44149";"05913000";"Dortmund";"09.04.2020";null;6
125230;"44225";"05913000";"Dortmund";"09.04.2020";null;6
125231;"44227";"05913000";"Dortmund";"09.04.2020";null;6
125232;"44229";"05913000";"Dortmund";"09.04.2020";null;6
125244;"44263";"05913000";"Dortmund";"09.04.2020";null;6
125245;"44265";"05913000";"Dortmund";"09.04.2020";null;6
125246;"44267";"05913000";"Dortmund";"09.04.2020";null;6
125247;"44269";"05913000";"Dortmund";"09.04.2020";null;6
125256;"44287";"05913000";"Dortmund";"09.04.2020";null;6
125257;"44289";"05913000";"Dortmund";"09.04.2020";null;6
125262;"44309";"05913000";"Dortmund";"09.04.2020";null;6
125267;"44319";"05913000";"Dortmund";"09.04.2020";null;6
125271;"44328";"05913000";"Dortmund";"09.04.2020";null;6
125272;"44329";"05913000";"Dortmund";"09.04.2020";null;6
125276;"44339";"05913000";"Dortmund";"09.04.2020";null;6
125281;"44357";"05913000";"Dortmund";"09.04.2020";null;6
125282;"44359";"05913000";"Dortmund";"09.04.2020";null;6
125285;"44369";"05913000";"Dortmund";"09.04.2020";null;6
125289;"44379";"05913000";"Dortmund";"09.04.2020";null;6
125294;"44388";"05913000";"Dortmund";"09.04.2020";null;6
125320;"44532";"05978024";"Lünen";"09.04.2020";null;6
125321;"44534";"05978024";"Lünen";"09.04.2020";null;6
